Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
14.21371967,3,0xA0,0x90,Write,ACK
14.2137445,3,0xA0,0xA0,Write,ACK
14.21376933,3,0xA0,0xB0,Write,ACK
14.213794,3,0xA0,0xC0,Write,ACK
14.21381867,3,0xA0,0xD0,Write,ACK
14.2138435,3,0xA0,0xE0,Write,ACK
14.21386817,3,0xA0,0xF0,Write,ACK
14.213893,3,0xA0,0xAE,Write,ACK
14.21391767,3,0xA0,0x11,Write,ACK
14.2139425,3,0xA0,0x21,Write,ACK
14.21396717,3,0xA0,0x31,Write,ACK
14.213992,3,0xA0,0x41,Write,ACK
14.21401667,3,0xA0,0x51,Write,ACK
14.2140415,3,0xA0,0x61,Write,ACK
14.21406617,3,0xA0,0x71,Write,ACK
14.214091,3,0xA0,0x81,Write,ACK
14.21411567,3,0xA0,0x91,Write,ACK
14.2141405,3,0xA0,0xA1,Write,ACK
14.21416517,3,0xA0,0xB1,Write,ACK
14.21419,3,0xA0,0xC1,Write,ACK
14.21421467,3,0xA0,0xD1,Write,ACK
14.21423933,3,0xA0,0xE1,Write,ACK
14.21426417,3,0xA0,0xF1,Write,ACK
14.24407067,4,0xA0,0x00,Write,ACK
14.24409533,4,0xA0,0x00,Write,ACK
14.24956333,5,0xA1,0xAA,Read,ACK
14.24958967,5,0xA1,0x10,Read,ACK
14.24961517,5,0xA1,0x20,Read,ACK
14.2496405,5,0xA1,0x30,Read,ACK
14.249666,5,0xA1,0x40,Read,ACK
14.24969133,5,0xA1,0x50,Read,ACK
14.24971683,5,0xA1,0x60,Read,ACK
14.24974217,5,0xA1,0x70,Read,ACK
14.24976767,5,0xA1,0x80,Read,ACK
14.249793,5,0xA1,0x90,Read,ACK
14.2498185,5,0xA1,0xA0,Read,ACK
14.249844,5,0xA1,0xB0,Read,ACK
14.24986933,5,0xA1,0xC0,Read,ACK
14.24989483,5,0xA1,0xD0,Read,ACK
14.24992017,5,0xA1,0xE0,Read,ACK
14.24994567,5,0xA1,0xF0,Read,ACK
14.249971,5,0xA1,0xAB,Read,ACK
14.2499965,5,0xA1,0x11,Read,ACK
14.25002183,5,0xA1,0x21,Read,ACK
14.25004733,5,0xA1,0x31,Read,ACK
14.25007267,5,0xA1,0x41,Read,ACK
14.25009817,5,0xA1,0x51,Read,ACK
14.2501235,5,0xA1,0x61,Read,ACK
14.250149,5,0xA1,0x71,Read,ACK
