Time [s],Packet ID,MOSI,MISO
0.0006473,61,0xF6,0xF7
0.0006537,62,0xF8,0xF9
0.0006557,62,0xF9,0xFA
0.0006577,62,0xFA,0xFB
0.0006641,63,0xFC,0xFD
0.0006661,63,0xFD,0xFE
0.0006681,63,0xFE,0xFF
0.0006745,64,0x00,0x01
0.0006765,64,0x01,0x02
0.0006785,64,0x02,0x03
0.0006849,65,0x04,0x05
0.0006869,65,0x05,0x06
0.0006889,65,0x06,0x07
0.0006953,66,0x08,0x09
0.0006973,66,0x09,0x0A
0.0006993,66,0x0A,0x0B
0.0007057,67,0x0C,0x0D
0.0007077,67,0x0D,0x0E
0.0007097,67,0x0E,0x0F
0.0007161,68,0x10,0x11
0.0007181,68,0x11,0x12
0.0007201,68,0x12,0x13
0.0007265,69,0x14,0x15
0.0007285,69,0x15,0x16
0.0007305,69,0x16,0x17
0.0007369,70,0x18,0x19
0.0007389,70,0x19,0x1A
0.0007409,70,0x1A,0x1B
0.0007473,71,0x1C,0x1D
0.0007493,71,0x1D,0x1E
0.0007513,71,0x1E,0x1F
0.0007577,72,0x20,0x21
0.0007597,72,0x21,0x22
0.0007617,72,0x22,0x23
0.0007681,73,0x24,0x25
0.0007701,73,0x25,0x26
0.0007721,73,0x26,0x27
0.0007785,74,0x28,0x29
0.0007805,74,0x29,0x2A
0.0007825,74,0x2A,0x2B
0.0007889,75,0x2C,0x2D
0.0007909,75,0x2D,0x2E
0.0007929,75,0x2E,0x2F
0.0007993,76,0x30,0x31
0.0008013,76,0x31,0x32
0.0008033,76,0x32,0x33
0.0008097,77,0x34,0x35
0.0008117,77,0x35,0x36
0.0008137,77,0x36,0x37
0.0008201,78,0x38,0x39
0.0008221,78,0x39,0x3A
0.0008241,78,0x3A,0x3B
0.0008305,79,0x3C,0x3D
0.0008325,79,0x3D,0x3E
0.0008345,79,0x3E,0x3F
0.0008409,80,0x40,0x41
0.0008429,80,0x41,0x42
0.0008449,80,0x42,0x43
0.0008513,81,0x44,0x45
0.0008533,81,0x45,0x46
0.0008553,81,0x46,0x47
0.0008617,82,0x48,0x49
0.0008637,82,0x49,0x4A
0.0008657,82,0x4A,0x4B
0.0008721,83,0x4C,0x4D
0.0008741,83,0x4D,0x4E
0.0008761,83,0x4E,0x4F
0.0008825,84,0x50,0x51
0.0008845,84,0x51,0x52
0.0008865,84,0x52,0x53
0.0008929,85,0x54,0x55
0.0008949,85,0x55,0x56
0.0008969,85,0x56,0x57
0.0009033,86,0x58,0x59
0.0009053,86,0x59,0x5A
0.0009073,86,0x5A,0x5B
0.0009137,87,0x5C,0x5D
0.0009157,87,0x5D,0x5E
0.0009177,87,0x5E,0x5F
0.0009241,88,0x60,0x61
0.0009261,88,0x61,0x62
0.0009281,88,0x62,0x63
0.0009345,89,0x64,0x65
0.0009365,89,0x65,0x66
0.0009385,89,0x66,0x67
0.0009449,90,0x68,0x69
0.0009469,90,0x69,0x6A
0.0009489,90,0x6A,0x6B
0.0009553,91,0x6C,0x6D
0.0009573,91,0x6D,0x6E
0.0009593,91,0x6E,0x6F
0.0009657,92,0x70,0x71
0.0009677,92,0x71,0x72
0.0009697,92,0x72,0x73
0.0009761,93,0x74,0x75
